bigCityFlag,cityCode,cityName,prefCode
0,03482,山田町,3
0,03483,岩泉町,3
0,03484,田野畑村,3
0,03485,普代村,3
0,03501,軽米町,3
0,03503,野田村,3
0,03506,九戸村,3
0,03507,洋野町,3
0,03524,一戸町,3
2,04100,仙台市,4
1,04101,仙台市青葉区,4
1,04102,仙台市宮城野区,4
1,04103,仙台市若林区,4
1,04104,仙台市太白区,4
1,04105,仙台市泉区,4
0,04202,石巻市,4
0,04203,塩竈市,4
0,04205,気仙沼市,4
0,04206,白石市,4
0,04207,名取市,4
0,04208,角田市,4
0,04209,多賀城市,4
0,04211,岩沼市,4
0,04212,登米市,4
0,04213,栗原市,4
0,04214,東松島市,4
0,04215,大崎市,4
0,04301,蔵王町,4
0,04302,七ヶ宿町,4
0,04321,大河原町,4
0,04322,村田町,4
0,04323,柴田町,4
0,04324,川崎町,4
0,04341,丸森町,4
0,04361,亘理町,4
0,04362,山元町,4
0,04401,松島町,4
0,04404,七ヶ浜町,4
0,04406,利府町,4
0,04421,大和町,4
0,04422,大郷町,4
0,04423,富谷町,4
0,04424,大衡村,4
0,04444,色麻町,4
0,04445,加美町,4
0,04501,涌谷町,4
0,04505,美里町,4
0,04581,女川町,4
0,04606,南三陸町,4
0,05201,秋田市,5
0,05202,能代市,5
0,05203,横手市,5
0,05204,大館市,5
0,05206,男鹿市,5
0,05207,湯沢市,5
0,05209,鹿角市,5
0,05210,由利本荘市,5
0,05211,潟上市,5
0,05212,大仙市,5
0,05213,北秋田市,5
0,05214,にかほ市,5
0,05215,仙北市,5
0,05303,小坂町,5
0,05327,上小阿仁村,5
0,05346,藤里町,5
0,05348,三種町,5
0,05349,八峰町,5
0,05361,五城目町,5
0,05363,八郎潟町,5
0,05366,井川町,5
0,05368,大潟村,5
0,05434,美郷町,5
0,05463,羽後町,5
0,05464,東成瀬村,5
0,06201,山形市,6
0,06202,米沢市,6
0,06203,鶴岡市,6
0,06204,酒田市,6
0,06205,新庄市,6
0,06206,寒河江市,6
0,06207,上山市,6
0,06208,村山市,6
0,06209,長井市,6
0,06210,天童市,6
0,06211,東根市,6
0,06212,尾花沢市,6
0,06213,南陽市,6
0,06301,山辺町,6
0,06302,中山町,6
0,06321,河北町,6
0,06322,西川町,6
0,06323,朝日町,6
0,06324,大江町,6
0,06341,大石田町,6
0,06361,金山町,6
0,06362,最上町,6
0,06363,舟形町,6
